method,prompt_type,trials,asked_trials,asked_rate_pct,avg_candidate_count_asked,median_candidate_count_asked,actual_total_questions_asked_trials,actual_mean_q_asked_trials,ideal_half_total_q_asked_trials,ideal_half_mean_q_asked_trials,split04_total_q_asked_trials,split04_mean_q_asked_trials,mixed_expected_total_q_asked_trials,mixed_expected_mean_q_asked_trials,actual_minus_split04_total,actual_over_split04,actual_minus_mixed_expected_total,actual_over_mixed_expected
first_question,ambiguous,72,67,93.0556,4.7313,4.0,193,2.8806,161,2.403,163,2.4328,168.5052,2.515,30,1.184,24.4948,1.1454
first_question,clear,72,3,4.1667,2.6667,2.0,5,1.6667,4,1.3333,4,1.3333,4.2,1.4,1,1.25,0.8,1.1905
first_question,partial,72,31,43.0556,3.2581,2.0,41,1.3226,47,1.5161,49,1.5806,50.3072,1.6228,-8,0.8367,-9.3072,0.815
proposed_efe,ambiguous,72,66,91.6667,4.7727,4.0,149,2.2576,160,2.4242,162,2.4545,167.2775,2.5345,-13,0.9198,-18.2775,0.8907
proposed_efe,clear,71,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
proposed_efe,partial,73,38,52.0548,2.9474,2.0,50,1.3158,51,1.3421,53,1.3947,54.1036,1.4238,-3,0.9434,-4.1036,0.9242
random_candidate,ambiguous,73,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_candidate,clear,71,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_candidate,partial,72,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_question,ambiguous,72,66,91.6667,4.8788,4.0,194,2.9394,162,2.4545,164,2.4848,170.7008,2.5864,30,1.1829,23.2992,1.1365
random_question,clear,73,2,2.7397,2.0,2.0,2,1.0,2,1.0,2,1.0,2.0,1.0,0,1.0,0.0,1.0
random_question,partial,71,33,46.4789,2.9697,2.0,45,1.3636,44,1.3333,46,1.3939,47.1552,1.4289,-1,0.9783,-2.1552,0.9543
top_score,ambiguous,73,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
top_score,clear,72,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
top_score,partial,71,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_best_question,ambiguous,72,66,91.6667,4.8636,4.5,193,2.9242,164,2.4848,164,2.4848,170.6632,2.5858,29,1.1768,22.3368,1.1309
vlm_best_question,clear,72,4,5.5556,3.25,2.0,4,1.0,6,1.5,6,1.5,6.5557,1.6389,-2,0.6667,-2.5557,0.6102
vlm_best_question,partial,72,32,44.4444,2.7812,2.0,38,1.1875,41,1.2812,43,1.3438,43.4476,1.3577,-5,0.8837,-5.4476,0.8746
vlm_direct,ambiguous,72,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,clear,72,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,partial,72,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
