trial_id,scene_id,prompt_type,method,exclude_reason
online_trial_20260521_194540_4ccde2,scene_01,partial,vlm_best_question,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260521_201825_e621c9,scene_02,partial,proposed_efe,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260522_184255_7eefd6,scene_06,clear,vlm_best_question,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260522_185317_0f2569,scene_06,ambiguous,proposed_efe,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260522_201934_8442c3,scene_09,clear,proposed_efe,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260523_214451_6b1291,scene_13,partial,top_score,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260523_215853_919d46,scene_14,partial,random_candidate,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260527_201805_08b7a8,scene_19,clear,top_score,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260527_201048_8282f1,scene_19,clear,vlm_best_question,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260527_201158_b334d7,scene_19,clear,proposed_efe,duplicate_scene_prompt_method_cell_seeded_random_exclusion
online_trial_20260527_202659_bb6b55,scene_20,ambiguous,vlm_best_question,duplicate_scene_prompt_method_cell_seeded_random_exclusion
