section,group,n
overall,total_records,1512
overall,scenes,36
overall,methods,7
method,first_question,216
method,proposed_efe,216
method,random_candidate,216
method,random_question,216
method,top_score,216
method,vlm_best_question,216
method,vlm_direct,216
prompt_type,ambiguous,506
prompt_type,clear,503
prompt_type,partial,503
method_x_prompt_type,first_question|ambiguous,72
method_x_prompt_type,first_question|clear,72
method_x_prompt_type,first_question|partial,72
method_x_prompt_type,proposed_efe|ambiguous,72
method_x_prompt_type,proposed_efe|clear,71
method_x_prompt_type,proposed_efe|partial,73
method_x_prompt_type,random_candidate|ambiguous,73
method_x_prompt_type,random_candidate|clear,71
method_x_prompt_type,random_candidate|partial,72
method_x_prompt_type,random_question|ambiguous,72
method_x_prompt_type,random_question|clear,73
method_x_prompt_type,random_question|partial,71
method_x_prompt_type,top_score|ambiguous,73
method_x_prompt_type,top_score|clear,72
method_x_prompt_type,top_score|partial,71
method_x_prompt_type,vlm_best_question|ambiguous,72
method_x_prompt_type,vlm_best_question|clear,72
method_x_prompt_type,vlm_best_question|partial,72
method_x_prompt_type,vlm_direct|ambiguous,72
method_x_prompt_type,vlm_direct|clear,72
method_x_prompt_type,vlm_direct|partial,72
method_x_scene_id,first_question|scene_001,9
method_x_scene_id,first_question|scene_002,8
method_x_scene_id,first_question|scene_003,8
method_x_scene_id,first_question|scene_004,9
method_x_scene_id,first_question|scene_005,8
method_x_scene_id,first_question|scene_006,8
method_x_scene_id,first_question|scene_007,6
method_x_scene_id,first_question|scene_008,5
method_x_scene_id,first_question|scene_009,6
method_x_scene_id,first_question|scene_010,6
method_x_scene_id,first_question|scene_011,5
method_x_scene_id,first_question|scene_012,6
method_x_scene_id,first_question|scene_013,6
method_x_scene_id,first_question|scene_014,5
method_x_scene_id,first_question|scene_015,7
method_x_scene_id,first_question|scene_016,6
method_x_scene_id,first_question|scene_017,6
method_x_scene_id,first_question|scene_018,6
method_x_scene_id,first_question|scene_019,6
method_x_scene_id,first_question|scene_020,6
