trial_id,experiment_id,experiment_type,scene_id,scene_type,object_categories,prompt,prompt_type,method,expected_candidate_id,expected_display_id,notes,started_at_epoch_s,scene_observation_path,session_id,status,candidate_count,question_count,resolved_candidate_id,latency_s,updated_at_epoch_s,outcome,operator_note,finished_at_epoch_s,audit_failure_reason,audit_reviewed,include_in_audit,prompt_text,candidate_set_size,candidate_state,correct,num_questions,latency_sec,prompt_length,target_category,attribute_type,prompt_id,exact_prompt_key,prompt_norm,has_my,has_color,has_spatial,has_relation,has_size,has_modifier,prompt_object_category,prompt_pool_key,prompt_pool_n,prompt_pool_unique_n,prompt_pool_repetition_rate,prompt_text_repeat_count_in_pool
trial_20260508_160409_c79cf4,top_cups_01,main,scene_001,cup_only,[],Pick up my cup.,ambiguous,top_score,,,,1778223860.7854042,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,408dbca2-549c-4cc7-a941-69f8e20cf4bf,finished,6,0,cand_001,34.341922998428345,1779200229.8912752,wrong,,1778223895.1271913,ambiguity_not_solved,True,True,Pick up my cup.,6,,0,0,34.341922998428345,15,,,Pick up my cup.,scene_001::Pick up my cup.,pick up my cup,1,0,0,0,0,1,cup,scene_001|ambiguous,17,2,0.8823529411764706,15
trial_20260508_160520_53cf51,top_cups_01,main,scene_001,cup_only,[],Pick up the cup.,ambiguous,top_score,,,,1778223921.6871142,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,3efdbe28-e2e9-4b64-aa49-c93867247341,finished,6,0,cand_001,10.635690450668335,1779200272.2735322,wrong,,1778223932.3226795,ambiguity_not_solved,True,True,Pick up the cup.,6,,0,0,10.635690450668335,16,,,Pick up the cup.,scene_001::Pick up the cup.,pick up the cup,0,0,0,0,0,0,cup,scene_001|ambiguous,17,2,0.8823529411764706,2
trial_20260508_161100_a50c30,top_cups_01,main,scene_001,cup_only,[],Pick up cup.,partial,top_score,,,,1778224262.1325626,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,536790ef-8918-4314-9f49-920d65b82f28,finished,6,0,cand_001,6.717966318130493,1778224268.8507583,wrong,,1778224268.8504052,,False,True,Pick up cup.,6,,0,0,6.717966318130493,12,,,Pick up cup.,scene_001::Pick up cup.,pick up cup,0,0,0,0,0,0,cup,scene_001|partial,20,13,0.35,1
trial_20260508_162202_635b99,top_cups_01,main,scene_001,cup_only,[],Pick up the orange cup.,partial,top_score,,,,1778224923.2067125,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,48f1d85e-d526-4135-82ee-a03491865f62,finished,6,0,cand_005,21.049182653427124,1779200394.8649986,wrong,,1778224944.255771,ambiguity_not_solved,True,True,Pick up the orange cup.,6,,0,0,21.049182653427124,23,,,Pick up the orange cup.,scene_001::Pick up the orange cup.,pick up the orange cup,0,1,0,0,0,1,cup,scene_001|partial,20,13,0.35,6
trial_20260508_162226_ef0622,top_cups_01,main,scene_001,cup_only,[],Pick up the orange cup.,partial,top_score,,,,1778224947.821683,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,67911d3d-73e9-4ba1-9c9d-5a2db95200b5,finished,6,0,cand_005,5.794374704360962,1779200412.2777777,correct,,1778224953.6159282,,True,True,Pick up the orange cup.,6,,1,0,5.794374704360962,23,,,Pick up the orange cup.,scene_001::Pick up the orange cup.,pick up the orange cup,0,1,0,0,0,1,cup,scene_001|partial,20,13,0.35,6
trial_20260508_162254_f347a5,top_cups_01,main,scene_001,cup_only,[],Pick up the yellow cup.,clear,top_score,,,,1778224975.686028,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,d492dcb8-c079-4ff7-baa7-b341fbfaa0ec,finished,7,0,cand_001,67.69778203964233,1779200490.3229594,wrong,,1778225043.3836756,ambiguity_not_solved,True,True,Pick up the yellow cup.,7,,0,0,67.69778203964233,23,,,Pick up the yellow cup.,scene_001::Pick up the yellow cup.,pick up the yellow cup,0,1,0,0,0,1,cup,scene_001|clear,25,15,0.4,1
trial_20260508_163816_495011,top_cups_01,main,scene_001,cup_only,[],Pick up the green cup.,clear,proposed_efe,,,,1778225901.7899673,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,8b5cb52a-b181-4008-a7db-ee8b71b81d46,finished,1,0,cand_001,8.440147161483765,1779200523.9704766,correct,,1778225910.230061,,True,True,Pick up the green cup.,1,,1,0,8.440147161483765,22,,,Pick up the green cup.,scene_001::Pick up the green cup.,pick up the green cup,0,1,0,0,0,1,cup,scene_001|clear,25,15,0.4,3
trial_20260508_163848_4de1eb,top_cups_01,main,scene_001,cup_only,[],Pick up the green cup.,clear,top_score,,,,1778225929.6481764,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,f69d6f0f-9ef4-4365-9102-f68c3def5b30,finished,1,0,cand_001,16.494171619415283,1779200547.2206354,wrong,,1778225946.142251,ambiguity_not_solved,True,True,Pick up the green cup.,1,,0,0,16.494171619415283,22,,,Pick up the green cup.,scene_001::Pick up the green cup.,pick up the green cup,0,1,0,0,0,1,cup,scene_001|clear,25,15,0.4,3
trial_20260508_163919_5e274a,top_cups_01,main,scene_001,cup_only,[],Pick up the right most cup.,clear,top_score,,,,1778225961.1153183,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,ae5cc957-06e5-4d1d-8c10-4ff08e8861ab,finished,1,0,cand_001,5.866001844406128,1779200571.3201804,correct,,1778225966.9812212,,True,True,Pick up the right most cup.,1,,1,0,5.866001844406128,27,,,Pick up the right most cup.,scene_001::Pick up the right most cup.,pick up the right most cup,0,0,1,0,0,1,cup,scene_001|clear,25,15,0.4,1
trial_20260508_163950_1f0b87,top_cups_01,main,scene_001,cup_only,[],Pick up the orange cup.,partial,top_score,,,,1778225992.0420232,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,43e543b1-911a-46e7-ba51-7721cb22004f,finished,1,0,cand_001,10.041961431503296,1779200659.22189,wrong,,1778226002.0838876,gd_missing_target_candidate,True,True,Pick up the orange cup.,1,,0,0,10.041961431503296,23,,,Pick up the orange cup.,scene_001::Pick up the orange cup.,pick up the orange cup,0,1,0,0,0,1,cup,scene_001|partial,20,13,0.35,6
trial_20260508_164547_d93529,top_cups_01,main,scene_001,cup_only,[],Pick up my cup.,ambiguous,random_candidate,,,,1778226349.151431,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,4147b900-f970-49ba-ac18-7f4188c18b76,finished,6,0,cand_004,11.47260570526123,1779200774.1235113,wrong,,1778226360.623901,ambiguity_not_solved,True,True,Pick up my cup.,6,,0,0,11.47260570526123,15,,,Pick up my cup.,scene_001::Pick up my cup.,pick up my cup,1,0,0,0,0,1,cup,scene_001|ambiguous,17,2,0.8823529411764706,15
trial_20260508_164750_4a676b,top_cups_01,main,scene_001,cup_only,[],Pick up the cup.,ambiguous,random_candidate,,,,1778226471.3011963,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,a20e55b8-e32a-4cd9-a082-2a93e22f7790,finished,6,0,cand_002,41.98415732383728,1779200803.618736,wrong,,1778226513.285222,ambiguity_not_solved,True,True,Pick up the cup.,6,,0,0,41.98415732383728,16,,,Pick up the cup.,scene_001::Pick up the cup.,pick up the cup,0,0,0,0,0,0,cup,scene_001|ambiguous,17,2,0.8823529411764706,2
trial_20260508_164849_47bc34,top_cups_01,main,scene_001,cup_only,[],Pick up the cup.,partial,random_candidate,,,,1778226531.0497403,/home/haoandong/ask2act/services/a6000_web/artifacts/offline_experiments/top_cups_01/scenes/scene_001/observation.jpg,1faddc30-c8db-45b3-8e6b-8212833fb222,finished,6,0,cand_003,7.41014838218689,1778226538.4600914,correct,,1778226538.4597561,,False,True,Pick up the cup.,6,,1,0,7.41014838218689,16,,,Pick up the cup.,scene_001::Pick up the cup.,pick up the cup,0,0,0,0,0,0,cup,scene_001|partial,20,13,0.35,1
