scene_id,method,prompt_type,N,target_correct,target_fail,target_selection_accuracy,grasp_attempted,physical_grasp_success,physical_grasp_success_rate_attempted,correct_object_grasp_success,task_success_rate,wrong_target_prevented,wrong_target_prevented_rate,wrong_object_grasp,asked_N,asked_rate,mean_questions_all,mean_questions_asked,mean_time_s,median_time_s
scene_01,proposed_efe,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,2.0,2.0,178.98681116104126,178.98681116104126
scene_01,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,46.36248922348023,46.36248922348023
scene_01,random_candidate,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,9.244788646697998,9.244788646697998
scene_01,random_candidate,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,56.34570598602295,56.34570598602295
scene_01,random_candidate,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,18.664626121521,18.664626121521
scene_01,top_score,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,2.756098747253418,2.756098747253418
scene_01,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,40.94772934913635,40.94772934913635
scene_01,top_score,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,6.960195064544678,6.960195064544678
scene_01,vlm_best_question,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,4.0,4.0,249.23972058296204,249.23972058296204
scene_01,vlm_best_question,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,43.83664608001709,43.83664608001709
scene_01,vlm_best_question,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,69.65821671485901,69.65821671485901
scene_02,proposed_efe,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,3.0,3.0,244.50571250915527,244.50571250915527
scene_02,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,41.08989429473877,41.08989429473877
scene_02,proposed_efe,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,80.00575828552246,80.00575828552246
scene_02,random_candidate,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,55.78427028656006,55.78427028656006
scene_02,random_candidate,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,4.496052265167236,4.496052265167236
scene_02,random_candidate,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,30.33409118652344,30.33409118652344
scene_02,top_score,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,9.13704752922058,9.13704752922058
scene_02,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,44.29111742973328,44.29111742973328
scene_02,top_score,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,49.73489046096802,49.73489046096802
scene_02,vlm_best_question,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,4.0,4.0,198.31300520896912,198.31300520896912
scene_02,vlm_best_question,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,32.820273876190186,32.820273876190186
scene_02,vlm_best_question,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,1.0,1.0,101.57255935668944,101.57255935668944
scene_03,proposed_efe,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,4.0,4.0,275.59798979759216,275.59798979759216
scene_03,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,46.36718559265137,46.36718559265137
scene_03,proposed_efe,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,17.254923582077026,17.254923582077026
scene_03,random_candidate,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,17.046895265579224,17.046895265579224
scene_03,random_candidate,clear,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,55.07406425476074,55.07406425476074
scene_03,random_candidate,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,22.351070165634155,22.351070165634155
scene_03,top_score,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,3.285088300704956,3.285088300704956
scene_03,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,48.50386023521423,48.50386023521423
scene_03,top_score,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,6.217562437057495,6.217562437057495
scene_03,vlm_best_question,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,4.0,4.0,232.2036874294281,232.2036874294281
scene_03,vlm_best_question,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,49.24596953392029,49.24596953392029
scene_03,vlm_best_question,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,13.813382387161257,13.813382387161257
scene_04,proposed_efe,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,3.0,3.0,234.7812159061432,234.7812159061432
scene_04,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,46.16217303276062,46.16217303276062
scene_04,proposed_efe,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,78.31889939308167,78.31889939308167
scene_04,random_candidate,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,46.49672317504883,46.49672317504883
scene_04,random_candidate,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,70.61621737480164,70.61621737480164
scene_04,random_candidate,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,12.352643966674805,12.352643966674805
scene_04,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,39.38528347015381,39.38528347015381
scene_04,top_score,partial,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,6.075489044189453,6.075489044189453
scene_04,vlm_best_question,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,2.0,2.0,188.344929933548,188.344929933548
scene_04,vlm_best_question,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,50.91265797615051,50.91265797615051
scene_04,vlm_best_question,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,70.10719060897827,70.10719060897827
scene_05,proposed_efe,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,2.0,2.0,257.86905455589294,257.86905455589294
scene_05,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,38.27488565444946,38.27488565444946
scene_05,proposed_efe,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,52.08625268936157,52.08625268936157
scene_05,random_candidate,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,11.578366041183472,11.578366041183472
scene_05,random_candidate,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,67.82820677757263,67.82820677757263
scene_05,random_candidate,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,50.19161653518677,50.19161653518677
scene_05,top_score,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,6.781307458877564,6.781307458877564
scene_05,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,51.46726417541504,51.46726417541504
scene_05,top_score,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,55.79480767250061,55.79480767250061
scene_05,vlm_best_question,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,4.0,4.0,336.39949321746826,336.39949321746826
scene_05,vlm_best_question,clear,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,47.06220459938049,47.06220459938049
scene_05,vlm_best_question,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,123.39700031280518,123.39700031280518
scene_06,proposed_efe,ambiguous,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,1,1.0,2.0,2.0,150.28194904327393,150.28194904327393
scene_06,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,47.61307668685913,47.61307668685913
scene_06,proposed_efe,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,57.984259366989136,57.984259366989136
scene_06,random_candidate,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,2.57671856880188,2.57671856880188
scene_06,random_candidate,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,49.32883071899414,49.32883071899414
scene_06,random_candidate,partial,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,59.82890439033508,59.82890439033508
scene_06,top_score,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,7.879992723464966,7.879992723464966
scene_06,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,46.981889724731445,46.981889724731445
scene_06,top_score,partial,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,46.94453430175781,46.94453430175781
scene_06,vlm_best_question,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,43.510961294174194,43.510961294174194
scene_06,vlm_best_question,partial,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,76.36306548118591,76.36306548118591
scene_07,proposed_efe,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,2.0,2.0,134.36217498779297,134.36217498779297
scene_07,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,52.14474678039551,52.14474678039551
scene_07,proposed_efe,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,79.11427903175354,79.11427903175354
scene_07,random_candidate,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,53.17130637168884,53.17130637168884
scene_07,random_candidate,clear,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,46.68675398826599,46.68675398826599
scene_07,random_candidate,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,49.03617000579834,49.03617000579834
scene_07,top_score,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,24.832040071487427,24.832040071487427
scene_07,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,45.67769765853882,45.67769765853882
scene_07,top_score,partial,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,57.26771473884583,57.26771473884583
scene_07,vlm_best_question,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,2.0,2.0,118.70204854011536,118.70204854011536
scene_07,vlm_best_question,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,54.9683678150177,54.9683678150177
scene_07,vlm_best_question,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,86.34061288833618,86.34061288833618
scene_08,proposed_efe,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,1.0,1.0,113.96156811714172,113.96156811714172
scene_08,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,40.23678827285767,40.23678827285767
scene_08,proposed_efe,partial,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,81.79223561286926,81.79223561286926
scene_08,random_candidate,ambiguous,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,16.600005626678467,16.600005626678467
scene_08,random_candidate,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,49.317599296569824,49.317599296569824
scene_08,random_candidate,partial,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,52.54289150238037,52.54289150238037
scene_08,top_score,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,57.98958992958069,57.98958992958069
scene_08,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,50.89495587348938,50.89495587348938
scene_08,top_score,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,83.82147026062012,83.82147026062012
scene_08,vlm_best_question,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,2.0,2.0,139.9443714618683,139.9443714618683
scene_08,vlm_best_question,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,184.65422677993772,184.65422677993772
scene_08,vlm_best_question,partial,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,54.69035625457764,54.69035625457764
scene_09,proposed_efe,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,1.0,1.0,145.1833848953247,145.1833848953247
scene_09,proposed_efe,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,13.51766061782837,13.51766061782837
scene_09,proposed_efe,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,63.92781591415405,63.92781591415405
scene_09,random_candidate,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,99.57594680786131,99.57594680786131
scene_09,random_candidate,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,44.32023096084595,44.32023096084595
scene_09,random_candidate,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,61.50301623344421,61.50301623344421
scene_09,top_score,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,45.88965368270874,45.88965368270874
scene_09,top_score,clear,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,41.40231418609619,41.40231418609619
scene_09,top_score,partial,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,0,0.0,0.0,,38.90333533287048,38.90333533287048
scene_09,vlm_best_question,ambiguous,1,1,0,1.0,1,1,1.0,1,1.0,0,0.0,0,1,1.0,2.0,2.0,126.53859090805054,126.53859090805054
