method,prompt_type,N,Correct,Acc,Asked_N,Avg_Q_Asked,Acc_pct
first_question,ambiguous,72,67,0.9305555555555556,67,2.88,93.06
first_question,clear,72,71,0.9861111111111112,3,1.67,98.61
first_question,partial,72,59,0.8194444444444444,31,1.32,81.94
proposed_efe,ambiguous,72,66,0.9166666666666666,66,2.26,91.67
proposed_efe,clear,71,70,0.9859154929577465,0,,98.59
proposed_efe,partial,73,63,0.863013698630137,38,1.32,86.3
random_candidate,ambiguous,73,13,0.1780821917808219,0,,17.81
random_candidate,clear,71,66,0.9295774647887324,0,,92.96
random_candidate,partial,72,36,0.5,0,,50.0
random_question,ambiguous,72,66,0.9166666666666666,66,2.94,91.67
random_question,clear,73,72,0.9863013698630136,2,1.0,98.63
random_question,partial,71,58,0.8169014084507042,33,1.36,81.69
top_score,ambiguous,73,13,0.1780821917808219,0,,17.81
top_score,clear,72,67,0.9305555555555556,0,,93.06
top_score,partial,71,36,0.5070422535211268,0,,50.7
vlm_best_question,ambiguous,72,67,0.9305555555555556,66,2.92,93.06
vlm_best_question,clear,72,71,0.9861111111111112,4,1.0,98.61
vlm_best_question,partial,72,61,0.8472222222222222,32,1.19,84.72
vlm_direct,ambiguous,72,14,0.19444444444444445,0,,19.44
vlm_direct,clear,72,66,0.9166666666666666,0,,91.67
vlm_direct,partial,72,36,0.5,0,,50.0
