method,prompt_type,N,unique_prompt_n,duplicate_rate,mean_prompt_length,has_my_rate,has_color_rate,has_spatial_rate,has_relation_rate,has_size_rate,has_modifier_rate,mean_candidate_set_size
first_question,ambiguous,72,6,0.9166666666666666,16.069444444444443,1.0,0.0,0.0,0.0,0.0,1.0,4.472222222222222
first_question,clear,72,45,0.375,22.61111111111111,0.0,0.5972222222222222,0.3611111111111111,0.0,0.027777777777777776,0.9027777777777778,1.0555555555555556
first_question,partial,72,35,0.5138888888888888,22.34722222222222,0.0,0.2777777777777778,0.7083333333333334,0.0,0.0,0.9722222222222222,2.1666666666666665
proposed_efe,ambiguous,72,7,0.9027777777777778,16.208333333333332,1.0,0.0,0.0,0.0,0.0,1.0,4.472222222222222
proposed_efe,clear,71,35,0.5070422535211268,23.028169014084508,0.0,0.8028169014084507,0.16901408450704225,0.0,0.0,0.9295774647887324,1.0
proposed_efe,partial,73,33,0.547945205479452,22.73972602739726,0.0,0.2465753424657534,0.726027397260274,0.0,0.0273972602739726,0.9863013698630136,2.0136986301369864
random_candidate,ambiguous,73,6,0.9178082191780822,16.013698630136986,0.9863013698630136,0.0,0.0,0.0,0.0,0.9863013698630136,4.5479452054794525
random_candidate,clear,71,44,0.3802816901408451,23.070422535211268,0.014084507042253521,0.6619718309859155,0.2676056338028169,0.0,0.014084507042253521,0.8873239436619719,1.2112676056338028
random_candidate,partial,72,40,0.4444444444444444,22.819444444444443,0.0,0.2638888888888889,0.6805555555555556,0.013888888888888888,0.0,0.9444444444444444,1.5833333333333333
random_question,ambiguous,72,7,0.9027777777777778,16.11111111111111,1.0,0.0,0.0,0.0,0.0,1.0,4.625
random_question,clear,73,41,0.4383561643835616,22.71232876712329,0.0,0.7123287671232876,0.2191780821917808,0.0,0.0136986301369863,0.9041095890410958,1.0273972602739727
random_question,partial,71,32,0.5492957746478873,22.746478873239436,0.0,0.22535211267605634,0.7464788732394366,0.0,0.0,0.971830985915493,1.9295774647887325
top_score,ambiguous,73,6,0.9178082191780822,16.068493150684933,0.9863013698630136,0.0,0.0,0.0,0.0,0.9863013698630136,4.4520547945205475
top_score,clear,72,28,0.6111111111111112,22.819444444444443,0.0,0.8194444444444444,0.125,0.0,0.0,0.9305555555555556,1.2638888888888888
top_score,partial,71,35,0.5070422535211268,22.718309859154928,0.0,0.3380281690140845,0.647887323943662,0.014084507042253521,0.0,0.9859154929577465,1.5070422535211268
vlm_best_question,ambiguous,72,6,0.9166666666666666,16.041666666666668,1.0,0.0,0.0,0.0,0.0,1.0,4.569444444444445
vlm_best_question,clear,72,38,0.4722222222222222,23.01388888888889,0.0,0.7222222222222222,0.18055555555555555,0.0,0.041666666666666664,0.9027777777777778,1.125
vlm_best_question,partial,72,33,0.5416666666666667,22.458333333333332,0.0,0.25,0.7777777777777778,0.0,0.0,1.0,1.875
vlm_direct,ambiguous,72,9,0.875,16.40277777777778,1.0,0.0,0.0,0.0,0.0,1.0,4.597222222222222
vlm_direct,clear,72,42,0.41666666666666663,22.77777777777778,0.0,0.6527777777777778,0.2916666666666667,0.0,0.05555555555555555,0.9444444444444444,1.3472222222222223
vlm_direct,partial,72,34,0.5277777777777778,22.84722222222222,0.0,0.20833333333333334,0.7638888888888888,0.0,0.0,0.9722222222222222,1.4444444444444444
