trial_id,scene_id,method,prompt_type,candidate_count,question_count,asked,ideal_half_min_q,split04_worst_q,mixed_vlm_expected_q,correct,outcome,prompt
trial_20260508_160409_c79cf4,scene_001,top_score,ambiguous,6,0,False,3,3,3.152,0,wrong,Pick up my cup.
trial_20260508_160520_53cf51,scene_001,top_score,ambiguous,6,0,False,3,3,3.152,0,wrong,Pick up the cup.
trial_20260508_161100_a50c30,scene_001,top_score,partial,6,0,False,3,3,3.152,0,wrong,Pick up cup.
trial_20260508_162202_635b99,scene_001,top_score,partial,6,0,False,3,3,3.152,0,wrong,Pick up the orange cup.
trial_20260508_162226_ef0622,scene_001,top_score,partial,6,0,False,3,3,3.152,1,correct,Pick up the orange cup.
trial_20260508_162254_f347a5,scene_001,top_score,clear,7,0,False,3,3,3.5557,0,wrong,Pick up the yellow cup.
trial_20260508_163816_495011,scene_001,proposed_efe,clear,1,0,False,0,0,0.0,1,correct,Pick up the green cup.
trial_20260508_163848_4de1eb,scene_001,top_score,clear,1,0,False,0,0,0.0,0,wrong,Pick up the green cup.
trial_20260508_163919_5e274a,scene_001,top_score,clear,1,0,False,0,0,0.0,1,correct,Pick up the right most cup.
trial_20260508_163950_1f0b87,scene_001,top_score,partial,1,0,False,0,0,0.0,0,wrong,Pick up the orange cup.
trial_20260508_164547_d93529,scene_001,random_candidate,ambiguous,6,0,False,3,3,3.152,0,wrong,Pick up my cup.
trial_20260508_164750_4a676b,scene_001,random_candidate,ambiguous,6,0,False,3,3,3.152,0,wrong,Pick up the cup.
trial_20260508_164849_47bc34,scene_001,random_candidate,partial,6,0,False,3,3,3.152,1,correct,Pick up the cup.
trial_20260508_164940_336107,scene_001,random_candidate,partial,1,0,False,0,0,0.0,0,wrong,Pick up the orange cup.
trial_20260508_164955_d88ca1,scene_001,random_candidate,partial,1,0,False,0,0,0.0,0,wrong,Pick up the orange cup.
trial_20260508_165018_9937e0,scene_001,random_candidate,partial,0,0,False,0,0,0.0,0,wrong,Pick up the top cup.
trial_20260508_165047_7e94fc,scene_001,random_candidate,clear,1,0,False,0,0,0.0,1,correct,Pick up the blue cup.
trial_20260508_165109_6538d4,scene_001,random_candidate,clear,1,0,False,0,0,0.0,1,correct,Pick up the red cup.
trial_20260508_165412_c6e1d7,scene_001,random_candidate,clear,1,0,False,0,0,0.0,1,correct,Pick up the left most cup.
trial_20260508_165541_afd38d,scene_001,vlm_direct,clear,1,0,False,0,0,0.0,1,correct,Pick up the left most cup.
trial_20260508_165723_f733d4,scene_001,vlm_direct,clear,1,0,False,0,0,0.0,1,correct,Pick up the green cup.
trial_20260508_165749_dbf4fe,scene_001,vlm_direct,clear,1,0,False,0,0,0.0,1,correct,Pick up the blue cup.
trial_20260508_165821_39c0a2,scene_001,vlm_direct,partial,1,0,False,0,0,0.0,0,wrong,Pick up the orange cup.
trial_20260508_165859_834639,scene_001,vlm_direct,partial,0,0,False,0,0,0.0,0,wrong,Pick up the cup on the bottom half.
trial_20260508_165956_4717c9,scene_001,vlm_direct,partial,1,0,False,0,0,0.0,1,correct,Pick up the left cup.
trial_20260508_170012_8965d6,scene_001,vlm_direct,partial,1,0,False,0,0,0.0,1,correct,Pick up the bottom cup.
trial_20260508_170818_2625a6,scene_001,vlm_direct,ambiguous,6,0,False,3,3,3.152,1,correct,Pick up my cup.
trial_20260508_170938_da1b4c,scene_001,vlm_direct,ambiguous,6,0,False,3,3,3.152,0,wrong,Pick up my cup.
trial_20260508_171420_28fff4,scene_001,first_question,clear,1,0,False,0,0,0.0,1,correct,Pick up green cup.
trial_20260508_171451_eb10c3,scene_001,first_question,clear,1,0,False,0,0,0.0,1,correct,Pick up red cup.
trial_20260508_171507_afe9a5,scene_001,first_question,clear,0,0,False,0,0,0.0,1,correct,Pick up left most cup.
trial_20260508_171543_02c3dd,scene_001,first_question,clear,1,0,False,0,0,0.0,1,correct,Pick up most left cup.
trial_20260508_171619_4c7035,scene_001,first_question,clear,1,0,False,0,0,0.0,1,correct,Pick up blue cup.
trial_20260508_171710_d0492c,scene_001,first_question,partial,1,0,False,0,0,0.0,0,wrong,Pick up orange cup.
trial_20260508_171731_71f6c9,scene_001,first_question,ambiguous,6,5,True,3,3,3.152,1,correct,Pick up my cup.
trial_20260508_172305_d24bf0,scene_001,first_question,ambiguous,6,3,True,3,3,3.152,1,correct,Pick up my cup.
trial_20260508_172634_3bff3d,scene_001,first_question,ambiguous,6,5,True,3,3,3.152,1,correct,Pick up my cup.
trial_20260508_173226_8f5a8c,scene_001,random_question,clear,1,0,False,0,0,0.0,1,correct,Pick up green cup.
trial_20260508_173239_8072a8,scene_001,random_question,clear,1,0,False,0,0,0.0,1,correct,Pick up green cup.
trial_20260508_173304_4f9f4a,scene_001,random_question,clear,1,0,False,0,0,0.0,0,wrong,Pick up bottom cup.
trial_20260508_173445_c8600b,scene_001,random_question,partial,1,0,False,0,0,0.0,1,correct,Pick up cup on the left half.
trial_20260508_173522_38a553,scene_001,random_question,partial,1,0,False,0,0,0.0,1,correct,Pick up orange cup.
trial_20260508_173553_2447fc,scene_001,random_question,partial,1,0,False,0,0,0.0,1,correct,Pick up the cup on the right half.
trial_20260508_173633_f306eb,scene_001,random_question,ambiguous,6,3,True,3,3,3.152,1,correct,Pick up my cup.
trial_20260508_174228_d0b0fb,scene_001,random_question,ambiguous,6,6,True,3,3,3.152,1,correct,Pick up my cup.
trial_20260508_174846_d38ccb,scene_001,random_question,ambiguous,6,2,True,3,3,3.152,1,correct,Pick up my cup.
trial_20260508_175056_c68951,scene_001,vlm_best_question,partial,1,0,False,0,0,0.0,1,correct,Pick up green cup.
trial_20260508_175117_158f32,scene_001,vlm_best_question,clear,1,0,False,0,0,0.0,1,correct,Pick up green cup.
trial_20260508_175127_0e627d,scene_001,vlm_best_question,clear,1,0,False,0,0,0.0,1,correct,Pick up yellow cup.
trial_20260508_175157_4eeeea,scene_001,vlm_best_question,clear,1,0,False,0,0,0.0,0,wrong,Pick up the cup in the middle.
trial_20260508_175456_dd671a,scene_001,vlm_best_question,partial,1,0,False,0,0,0.0,1,correct,Pick up the most left cup.
trial_20260508_175507_edf1df,scene_001,vlm_best_question,clear,1,0,False,0,0,0.0,1,correct,Pick up the most left cup.
