method,prompt_type,N,target_correct,target_fail,target_selection_accuracy,grasp_attempted,physical_grasp_success,physical_grasp_success_rate_attempted,correct_object_grasp_success,task_success_rate,wrong_target_prevented,wrong_target_prevented_rate,wrong_object_grasp,asked_N,asked_rate,mean_questions_all,mean_questions_asked,mean_time_s,median_time_s
proposed_efe,ambiguous,19,18,1,0.9473684210526315,18,17,0.9444444444444444,17,0.8947368421052632,1,0.05263157894736842,0,17,0.8947368421052632,1.736842105263158,1.9411764705882353,130.9126904889157,126.79300379753111
proposed_efe,clear,19,19,0,1.0,19,18,0.9473684210526315,18,0.9473684210526315,0,0.0,0,1,0.05263157894736842,0.05263157894736842,1.0,52.516090756968445,46.64639544487
proposed_efe,partial,19,16,3,0.8421052631578947,16,15,0.9375,15,0.7894736842105263,3,0.15789473684210525,0,1,0.05263157894736842,0.05263157894736842,1.0,57.30462242427625,57.984259366989136
random_candidate,ambiguous,19,7,12,0.3684210526315789,7,7,1.0,7,0.3684210526315789,12,0.631578947368421,0,0,0.0,0.0,,35.80875110626221,17.046895265579224
random_candidate,clear,19,19,0,1.0,19,16,0.8421052631578947,16,0.8421052631578947,0,0.0,0,0,0.0,0.0,,50.78049317159151,51.53935241699219
random_candidate,partial,19,9,10,0.47368421052631576,9,6,0.6666666666666666,6,0.3157894736842105,10,0.5263157894736842,0,0,0.0,0.0,,34.12709606321234,42.94576978683472
top_score,ambiguous,19,4,15,0.21052631578947367,4,4,1.0,4,0.21052631578947367,15,0.7894736842105263,0,0,0.0,0.0,,20.85496933836686,8.734300374984741
top_score,clear,19,19,0,1.0,19,18,0.9473684210526315,18,0.9473684210526315,0,0.0,0,0,0.0,0.0,,46.44786389250504,46.981889724731445
top_score,partial,19,11,8,0.5789473684210527,11,8,0.7272727272727273,8,0.42105263157894735,8,0.42105263157894735,0,0,0.0,0.0,,32.65575145420275,38.90333533287048
vlm_best_question,ambiguous,19,18,1,0.9473684210526315,18,16,0.8888888888888888,16,0.8421052631578947,1,0.05263157894736842,0,18,0.9473684210526315,2.263157894736842,2.388888888888889,152.8043949227584,147.0919668674469
vlm_best_question,clear,19,18,1,0.9473684210526315,18,16,0.8888888888888888,16,0.8421052631578947,1,0.05263157894736842,0,0,0.0,0.0,,64.37665431123031,49.24596953392029
vlm_best_question,partial,19,16,3,0.8421052631578947,16,14,0.875,14,0.7368421052631579,3,0.15789473684210525,0,2,0.10526315789473684,0.10526315789473684,1.0,74.81284426387988,74.5449731349945
